,match,team,"team color","mobility","ground pick-up",locations,"game piece","auto count","auto climb","end climb","climb time","break time","defense time","drive skill","defense skill",speed,stability,"intake consistency",scouter,comments
27,4,3970,red,FALSE,FALSE,"[4, 7, 7, 6, 15, 24, 3, 3, 21]","['y', 'y', 'm', 'y', 'y', 'y', 'y', 'm', 'b']",1,0,2,3,0,0,3,1,3,3,2,"abbie s. (1072)",""
28,4,6657,red,TRUE,FALSE,"[11, 14, 5, 2, 19]","['b', 'b', 'b', 'b', 'b']",1,0,2,3,0,0,3,1,2,1,3,"25atharvg (1072)","They’re kinda jittery which slows them down when they’re in taking and dropping, but they seem fine besides that."
29,4,6305,blue,TRUE,FALSE,"[26, 8]","['m', 'b']",2,0,0,0,0,15,1,2,1,2,0,"26brennar (1072)",""
30,4,2135,blue,FALSE,TRUE,"[9, 8, 6]","['b', 'b', 'b']",0,0,2,2,0,0,1,0,1,2,1,"26benjaminx (1072)","inconsistent intake with fully blown cubes"
31,4,3970,red,FALSE,FALSE,"[4, 7, 6, 13, 15, 3, 3]","['y', 'm', 'y', 'y', 'y', 'm', 'm']",1,0,2,6,0,0,2,1,3,4,4,"24brindhac (1072)","not much defense. intake pretty fast (ground and single substation)."
32,4,3970,red,FALSE,FALSE,"[4, 24, 7, 6, 13, 15, 22, 3, 4]","['y', 'y', 'm', 'y', 'y', 'y', 'y', 'm', 'y']",1,0,2,6,0,0,2,0,3,3,2,"griffinc (6662)","Had a roughly 50/50 consistency at high, 100 at mid, only did cones. Very solid performance"
33,4,6657,red,FALSE,TRUE,"[19, 19, 22, 24]","['y', 'b', 'b', 'm']",4,0,0,0,0,0,3,2,3,3,3,"gaby.lao (6662)",""
34,5,5104,red,TRUE,FALSE,"[9, 7, 16]","['y', 'y', 'y']",0,2,2,11,0,0,1,0,1,1,0,"24ronaldc (1072)",""
35,5,1828,blue,TRUE,TRUE,"[1, 9, 8]","['b', 'b', 'b']",0,0,2,0,0,0,1,0,1,0,0,"26benjaminx (1072)","seems like a only cube bot\ninconsistent intake with cubes\n"
36,5,8546,blue,FALSE,FALSE,"[25, 15]","['b', 'm']",0,0,2,12,0,0,3,0,4,2,0,"26brennar (1072)",""
37,5,5104,red,FALSE,FALSE,"[9, 7, 15]","['y', 'y', 'y']",0,1,2,0,0,49,2,1,3,2,2,"lizbeth (6662)",""
38,5,6711,red,FALSE,FALSE,"[32]","['b']",0,0,0,0,33,0,1,0,1,1,0,"25atharvg (1072)","I think theirye software is all bugged."
39,5,2288,red,FALSE,FALSE,"[1, 3]","['y', 'y']",1,0,2,6,7,0,2,0,2,2,1,"griffinc (6662)","Can score okay, but had trouble picking up, as the intake is very bulky and has trouble picking up from player station, when extended it was somewhat wobbly"
40,5,6711,red,FALSE,FALSE,"[15]","['b']",0,0,0,0,0,0,1,0,2,3,0,"jj (6662)","Mostly attempted to pick up game pieces during the match without success. Did not attempt defense. "
41,5,2288,red,FALSE,FALSE,"[1, 3]","['y', 'y']",1,0,2,6,0,0,1,0,0,0,1,"24brindhac (1072)","sooo slow. took around 10 seconds to intake a cone from the ground. move elevator/parts of arm individually and intake isn’t angled ideally so everything takes time"
42,5,5104,red,FALSE,TRUE,"[9, 7, 16]","['y', 'y', 'y']",0,2,2,16,0,0,2,1,3,0,1,"abbie s. (1072)","speed was good but if they started/stopped too fast, they would almost tip over, dropped their game piece or both\nalso about speed— going from one side of the map to the other was fine but when scoring they were kind of slow"
43,5,5104,red,FALSE,FALSE,"[3, 1, 3, 4, 7, 16, 25, 9]","['y', 'b', 'b', 'y', 'y', 'y', 'b', 'y']",1,0,2,0,159,0,3,2,3,4,4,"mari (6662)",""
44,6,7777,red,FALSE,FALSE,"[]","[]",0,0,0,0,0,0,0,0,0,0,0,"milena (6662)","was broken, didnt move"
45,6,1323,blue,TRUE,TRUE,"[10, 27, 25, 26, 17, 8, 5]","['y', 'y', 'y', 'b', 'b', 'b', 'b']",1,2,2,0,0,0,4,4,4,4,4,"mchur (6662)",""
46,6,7419,red,FALSE,FALSE,"[25]","['y']",0,0,2,5,18,0,0,0,1,0,0,"25atharvg (1072)",""
47,6,5026,red,FALSE,TRUE,"[4, 16, 9]","['m', 'y', 'y']",0,0,0,0,0,0,0,0,1,0,0,"24ronaldc (1072)",""
48,6,5026,red,FALSE,FALSE,"[3, 16, 9]","['y', 'y', 'y']",0,0,0,0,130,0,4,3,4,3,4,"mari (6662)",""
49,6,5026,red,FALSE,FALSE,"[3, 16, 7, 9]","['m', 'y', 'b', 'y']",0,0,0,0,0,0,3,1,3,2,2,"lizbeth (6662)",""
50,6,7777,red,FALSE,FALSE,"[]","[]",0,0,0,0,93,0,0,0,0,0,0,"gaby.lao (6662)","They rotated slightly and then did not move for the rest of the match"
51,6,7777,red,FALSE,FALSE,"[]","[]",0,0,0,0,98,0,0,0,0,0,0,"24brindhac (1072)","drive station wasn’t connected to robot"
52,6,7419,red,FALSE,FALSE,"[]","[]",0,0,2,40,34,33,0,2,2,0,0,"abbie s. (1072)","defense only\ndriver kept crashing into the wall when not playing defense"
53,6,1323,blue,TRUE,TRUE,"[10, 11, 12, 27, 25, 26, 17, 8, 7, 6, 5, 4]","['y', 'b', 'y', 'y', 'y', 'b', 'b', 'b', 'b', 'b', 'b', 'b']",2,2,2,0,0,0,3,1,3,4,4,"26benjaminx (1072)","auton is really good\ncan do all 3 levels with both game pieces"
54,7,2b,unknown,FALSE,FALSE,"[25, 15, 14, 8, 13]","['b', 'y', 'y', 'b', 'b']",0,0,2,8,0,0,4,0,4,4,3,"24salonis (1072)","973"
55,7,6662,red,TRUE,FALSE,"[8, 27]","['b', 'y']",0,2,2,0,0,0,2,2,3,1,2,"mchur (6662)",""
56,7,8768,red,TRUE,FALSE,"[14]","['b']",1,2,2,12,0,94,3,4,3,3,1,"26eddiez (1072)","They played defense for the entire match and parked on the charge station on endgame"
57,7,4400,blue,TRUE,FALSE,"[]","[]",0,0,2,5,7,49,3,3,2,0,0,"26sahilj (1072)","Def most of the match, pushed cubes and cones into comm zone for the beginning\n\nThey were sorta vibrating… during the entire match smth is prob wrong with their drivetrain"
